ticker,name,sicsector,sicindustry,famaindustry,sector,industry,location
ABR1,Atlantic Premium Brands Ltd,Wholesale Trade,Wholesale-Groceries & Related Products,Wholesale,Consumer Defensive,Food Distribution,Illinois U.S.A
ABRX,Able Laboratories Inc,Manufacturing,In Vitro & In Vivo Diagnostic Substances,Pharmaceutical Products,Healthcare,Diagnostics & Research,New Jersey U.S.A
ABRX1,Abr Information Services Inc,Services,Services-Computer Processing & Data Preparation,Business Services,Technology,Internet Content & Information,Florida U.S.A
ABS,Albertsons Inc,Retail Trade,Retail-Grocery Stores,Retail,Consumer Defensive,Grocery Stores,Idaho U.S.A
ABSC,Aurora Biosciences Corp,Services,Services-Commercial Physical & Biological Research,Business Services,Healthcare,Biotechnology,California U.S.A
ABT,Abbott Laboratories,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Medical Devices,Illinois U.S.A
ABTC,Abt Building Products Corp,Manufacturing,Lumber & Wood Products (No Furniture),Construction Materials,Basic Materials,Building Materials,Wisconsin U.S.A
ABTE,Able Telcom Holding Corp,Construction,Electrical Work,Construction,Industrials,Engineering & Construction,Georgia U.S.A
ABTI,Alpha Beta Technology Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Massachusetts U.S.A
ABTX,Allegiance Bancshares Inc,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Texas U.S.A
ABTX1,Agribiotech Inc,Agriculture Forestry And Fishing,Agricultural Production-Crops,Agriculture,Consumer Defensive,Farm Products,Nevada U.S.A
ABUS,Arbutus Biopharma Corp,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,British Columbia Canada
ABVA,Alliance Bankshares Corp,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,Virginia U.S.A
ABVT,Abovenet Inc,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,Communication,Communication Services,Telecom Services,New York U.S.A
ABWG,Ab Watley Group Inc,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,Trading,Financial Services,Capital Markets,New York U.S.A
ABWTQ,Abitibibowater Inc,Manufacturing,Paper Mills,Business Supplies,Basic Materials,Paper & Paper Products,South Carolina U.S.A
ABY1,Abitibi Consolidated Inc,Manufacturing,Paper Mills,Business Supplies,Basic Materials,Paper & Paper Products,Canada
AC,Associated Capital Group Inc,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,Trading,Financial Services,Capital Markets,New York U.S.A
ACA,Arcosa Inc,Manufacturing,Farm Machinery & Equipment,Machinery,,Infrastructure Operations,Texas U.S.A
ACAD,Acadia Pharmaceuticals Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,California U.S.A
ACAM,Acamar Partners Acquisition Corp,Finance Insurance And Real Estate,Blank Checks,Trading,Industrials,Conglomerates,Florida U.S.A
ACAM1,Autocam Corp,Manufacturing,Motor Vehicle Parts & Accessories,Automobiles and Trucks,Consumer Cyclical,Auto Parts,Michigan U.S.A
ACAP,American Physicians Capital Inc,Finance Insurance And Real Estate,Hospital & Medical Service Plans,Insurance,Healthcare,Health Care Plans,Michigan U.S.A
ACAS,American Capital Ltd,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,Banking,Financial Services,Asset Management,Maryland U.S.A
ACAT,Arctic Cat Inc,Manufacturing,Miscellaneous Transportation Equipment,Automobiles and Trucks,Consumer Cyclical,Recreational Vehicles,Minnesota U.S.A
ACB,Aurora Cannabis Inc,Manufacturing,Medicinal Chemicals & Botanical Products,Pharmaceutical Products,Healthcare,Drug Manufacturers - Specialty & Generic,Alberta Canada
ACBA,American Community Bancshares Inc,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,North Carolina U.S.A
ACBI,Atlantic Capital Bancshares Inc,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Georgia U.S.A
ACC,American Campus Communities Inc,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Residential,Texas U.S.A
ACCD,Accord Networks Ltd,Manufacturing,Computer Communications Equipment,Computers,Technology,Communication Equipment,Georgia U.S.A
ACCL,Accelrys Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,California U.S.A
